profile,suite,case,ok,places,transitions,scg_states,scg_edges,scg_dedup_hits,scg_truncated,ms_tdg2pn,ms_scg_build,ms_scg_dot,ms_total,ppn_exported,ppn_error,error
ptpn,p-bench,initial,True,20,21,319,412,94,True,0,1,3,4,False,,
romeo,p-bench,initial,True,20,21,319,412,94,True,0,1,3,5,False,,
ptopner,p-bench,initial,True,22,27,1083,1393,311,True,0,3,9,13,False,ERROR: PToPNer export validation failed:,
ptpn,p-bench,no-period,True,18,19,173,218,46,True,0,0,1,2,False,,
romeo,p-bench,no-period,True,18,19,173,218,46,True,0,0,1,2,False,,
ptopner,p-bench,no-period,True,20,25,133,178,46,True,0,0,0,1,False,ERROR: PToPNer export validation failed:,
ptpn,p-bench,same-core,True,20,21,595,709,115,True,0,1,4,6,False,,
romeo,p-bench,same-core,True,20,21,595,709,115,True,0,1,5,7,False,,
ptopner,p-bench,same-core,True,22,34,168,203,36,True,0,0,1,2,False,ERROR: PToPNer export validation failed:,
ptpn,p-bench,same-priority,True,20,21,126,166,41,True,0,0,1,2,False,,
romeo,p-bench,same-priority,True,20,21,126,166,41,True,0,0,1,2,False,,
ptopner,p-bench,same-priority,True,22,21,120,162,43,True,0,0,1,2,False,ERROR: PToPNer export validation failed:,
ptpn,p-bench,single-core-diff-priority,True,20,21,347,437,91,True,0,1,3,4,False,,
romeo,p-bench,single-core-diff-priority,True,20,21,347,437,91,True,0,1,3,5,False,,
ptopner,p-bench,single-core-diff-priority,True,21,36,141,172,32,True,0,0,1,2,False,ERROR: PToPNer export validation failed:,
ptpn,p-bench,single-core-same-priority,True,20,21,416,541,126,True,0,1,4,5,False,,
romeo,p-bench,single-core-same-priority,True,20,21,416,541,126,True,0,1,4,5,False,,
ptopner,p-bench,single-core-same-priority,True,21,21,965,1200,236,True,0,2,8,11,False,ERROR: PToPNer export validation failed:,
ptpn,s-bench,a,True,20,21,10000,11719,1720,True,0,40,84,126,False,,
romeo,s-bench,a,True,20,21,10000,11719,1720,True,0,42,82,126,False,,
ptopner,s-bench,a,True,22,27,1737,2038,302,True,0,5,15,21,False,ERROR: PToPNer export validation failed:,
ptpn,s-bench,b,True,20,21,8422,10244,1823,True,0,34,70,106,False,,
romeo,s-bench,b,True,20,21,8422,10244,1823,True,0,34,72,108,False,,
ptopner,s-bench,b,True,22,27,754,900,147,True,0,2,7,10,False,ERROR: PToPNer export validation failed:,
ptpn,s-bench,c,True,20,21,5073,6348,1276,True,0,17,41,60,False,,
romeo,s-bench,c,True,20,21,5073,6348,1276,True,0,18,43,63,False,,
ptopner,s-bench,c,True,22,27,882,1097,216,True,0,2,7,11,False,ERROR: PToPNer export validation failed:,
ptpn,s-bench,d,True,20,21,10000,11941,1942,True,0,41,85,128,False,,
romeo,s-bench,d,True,20,21,10000,11941,1942,True,0,41,87,130,False,,
ptopner,s-bench,d,True,22,27,798,939,142,True,0,2,7,10,False,ERROR: PToPNer export validation failed:,
ptpn,s-bench,e,True,20,21,7316,9524,2209,True,0,28,60,90,False,,
romeo,s-bench,e,True,20,21,7316,9524,2209,True,0,26,61,90,False,,
ptopner,s-bench,e,True,22,27,1600,2132,533,True,0,5,14,19,False,ERROR: PToPNer export validation failed:,
ptpn,s-bench,f,True,20,21,1513,1716,204,True,0,4,12,18,False,,
